task,k_shot,method,baseline,n,acc_delta_mean,acc_delta_positive_ratio,f1_delta_mean,f1_delta_positive_ratio,auc_delta_mean,auc_delta_positive_ratio,pd_at_pfa_0.05_delta_mean,pd_at_pfa_0.05_delta_positive_ratio,pd_at_pfa_0.01_delta_mean,pd_at_pfa_0.01_delta_positive_ratio,pd_tc_delta_mean,pd_tc_delta_positive_ratio,pfa_tc_delta_mean,pfa_tc_delta_positive_ratio,threshold_tc_delta_mean,threshold_tc_delta_positive_ratio
open+speedboat->uuv,5,CE-LinearHead,CE-Proto,30,0.06073333333333332,0.7666666666666667,0.03278112628178881,0.5666666666666667,0.04003913333333332,0.5333333333333333,0.07946666666666666,0.6666666666666666,0.039799999999999995,0.6666666666666666,,,,,,
open+speedboat->uuv,10,CE-LinearHead,CE-Proto,30,0.09416666666666666,0.9,0.06183324013574317,0.7666666666666667,0.07679419999999997,0.8,0.15880000000000002,0.8333333333333334,0.0918666666666667,0.7,,,,,,
open+speedboat->uuv,20,CE-LinearHead,CE-Proto,30,0.11290000000000001,0.9333333333333333,0.07953091688447454,0.8666666666666667,0.09680959999999997,0.9666666666666667,0.13166666666666668,0.9,0.04886666666666669,0.7,,,,,,
open+speedboat->uuv,50,CE-LinearHead,CE-Proto,30,0.12890000000000004,1.0,0.10266819279023795,1.0,0.1406432666666667,1.0,0.2174666666666667,0.9666666666666667,0.10293333333333334,0.7333333333333333,,,,,,
open+uuv->speedboat,5,CE-LinearHead,CE-Proto,30,0.05270000000000001,0.8333333333333334,0.06613075093327553,0.8,0.05143746666666667,0.7666666666666667,0.0045333333333333345,0.5,0.0025333333333333328,0.36666666666666664,,,,,,
open+uuv->speedboat,10,CE-LinearHead,CE-Proto,30,0.07153333333333332,0.9333333333333333,0.07066233447187953,0.8333333333333334,0.08320546666666666,0.9666666666666667,0.033400000000000006,0.7,0.008533333333333334,0.6333333333333333,,,,,,
open+uuv->speedboat,20,CE-LinearHead,CE-Proto,30,0.09023333333333333,1.0,0.08421339584896616,0.9666666666666667,0.10912526666666664,1.0,0.046333333333333344,0.8333333333333334,0.015466666666666668,0.6666666666666666,,,,,,
open+uuv->speedboat,50,CE-LinearHead,CE-Proto,30,0.12313333333333334,0.9666666666666667,0.11332348937167261,0.9666666666666667,0.15332120000000005,0.9666666666666667,0.07499999999999998,0.9333333333333333,0.03153333333333334,0.9,,,,,,
open+speedboat->uuv,5,CalibCosMetricHead,CE-Proto,30,0.065,0.8333333333333334,0.07375369604095676,0.8333333333333334,0.06099746666666666,0.7666666666666667,-0.04386666666666666,0.43333333333333335,-0.045066666666666665,0.26666666666666666,,,,,,
open+speedboat->uuv,10,CalibCosMetricHead,CE-Proto,30,0.11423333333333334,0.9,0.10364378869673666,0.9666666666666667,0.11163833333333331,0.8,0.07740000000000004,0.6666666666666666,0.0024666666666666635,0.4666666666666667,,,,,,
open+speedboat->uuv,20,CalibCosMetricHead,CE-Proto,30,0.1419333333333333,1.0,0.13374982994984294,1.0,0.12941746666666665,1.0,0.10553333333333333,0.7333333333333333,0.021333333333333346,0.5666666666666667,,,,,,
open+speedboat->uuv,50,CalibCosMetricHead,CE-Proto,30,0.1513,1.0,0.14867225184043018,1.0,0.16416386666666669,1.0,0.22180000000000002,1.0,0.11233333333333333,0.7666666666666667,,,,,,
open+uuv->speedboat,5,CalibCosMetricHead,CE-Proto,30,0.04826666666666665,0.8,0.052088565045312556,0.7333333333333333,0.04819473333333336,0.7666666666666667,0.028733333333333333,0.7333333333333333,0.004333333333333333,0.6666666666666666,,,,,,
open+uuv->speedboat,10,CalibCosMetricHead,CE-Proto,30,0.06706666666666666,0.9,0.06419202541631534,0.9,0.08188246666666668,0.9666666666666667,0.042466666666666666,0.8,0.0106,0.6,,,,,,
open+uuv->speedboat,20,CalibCosMetricHead,CE-Proto,30,0.09363333333333333,0.9666666666666667,0.07888309959388877,0.9,0.10037719999999997,0.9666666666666667,0.036733333333333326,0.7333333333333333,0.009466666666666667,0.5666666666666667,,,,,,
open+uuv->speedboat,50,CalibCosMetricHead,CE-Proto,30,0.10683333333333334,0.9666666666666667,0.07934735598455962,0.9333333333333333,0.12744033333333335,0.9666666666666667,0.06393333333333334,0.9333333333333333,0.02793333333333333,0.8666666666666667,,,,,,
open+speedboat->uuv,5,CalibCosMetricHead-TC,CE-Proto,30,0.02856666666666667,0.6,0.09166369125990347,0.8333333333333334,0.06099746666666666,0.7666666666666667,-0.04386666666666666,0.43333333333333335,-0.045066666666666665,0.26666666666666666,,,,,,
open+speedboat->uuv,10,CalibCosMetricHead-TC,CE-Proto,30,0.0878333333333333,0.7666666666666667,0.0940354730202247,0.8666666666666667,0.11163833333333331,0.8,0.07740000000000004,0.6666666666666666,0.0024666666666666635,0.4666666666666667,,,,,,
open+speedboat->uuv,20,CalibCosMetricHead-TC,CE-Proto,30,0.11883333333333333,0.9666666666666667,0.08904658366608031,0.9,0.12941746666666665,1.0,0.10553333333333333,0.7333333333333333,0.021333333333333346,0.5666666666666667,,,,,,
open+speedboat->uuv,50,CalibCosMetricHead-TC,CE-Proto,30,0.11633333333333334,1.0,0.06277188118479884,0.7,0.16416386666666669,1.0,0.22180000000000002,1.0,0.11233333333333333,0.7666666666666667,,,,,,
open+uuv->speedboat,5,CalibCosMetricHead-TC,CE-Proto,30,0.037766666666666664,0.8333333333333334,0.1128729343379206,0.9,0.04819473333333336,0.7666666666666667,0.028733333333333333,0.7333333333333333,0.004333333333333333,0.6666666666666666,,,,,,
open+uuv->speedboat,10,CalibCosMetricHead-TC,CE-Proto,30,0.05089999999999999,0.8666666666666667,0.08561523143912726,0.9,0.08188246666666668,0.9666666666666667,0.042466666666666666,0.8,0.0106,0.6,,,,,,
open+uuv->speedboat,20,CalibCosMetricHead-TC,CE-Proto,30,0.08606666666666665,0.9333333333333333,0.03852540580172892,0.8,0.10037719999999997,0.9666666666666667,0.036733333333333326,0.7333333333333333,0.009466666666666667,0.5666666666666667,,,,,,
open+uuv->speedboat,50,CalibCosMetricHead-TC,CE-Proto,30,0.09426666666666665,0.9333333333333333,-0.023465289557950863,0.43333333333333335,0.12744033333333335,0.9666666666666667,0.06393333333333334,0.9333333333333333,0.02793333333333333,0.8666666666666667,,,,,,
open+speedboat->uuv,5,CalibCosMetricHead-Tail,CE-Proto,30,0.06913333333333334,0.8333333333333334,0.0759139263018689,0.8333333333333334,0.06520513333333336,0.7333333333333333,-0.03226666666666667,0.4,-0.029733333333333334,0.3333333333333333,,,,,,
open+speedboat->uuv,10,CalibCosMetricHead-Tail,CE-Proto,30,0.10750000000000001,0.9,0.10003212806381,0.9333333333333333,0.10728526666666661,0.8,0.07940000000000001,0.7666666666666667,0.015466666666666672,0.5666666666666667,,,,,,
open+speedboat->uuv,20,CalibCosMetricHead-Tail,CE-Proto,30,0.13336666666666666,1.0,0.1264769844392419,1.0,0.1260397333333333,1.0,0.12646666666666664,0.8,0.038266666666666664,0.7333333333333333,,,,,,
open+speedboat->uuv,50,CalibCosMetricHead-Tail,CE-Proto,30,0.13863333333333333,1.0,0.13949154272242598,1.0,0.15748719999999997,1.0,0.21919999999999995,0.9666666666666667,0.1234,0.7666666666666667,,,,,,
open+uuv->speedboat,5,CalibCosMetricHead-Tail,CE-Proto,30,0.038699999999999984,0.8,0.0525169805539562,0.7333333333333333,0.03886133333333334,0.7666666666666667,0.0246,0.7,0.004933333333333334,0.4666666666666667,,,,,,
open+uuv->speedboat,10,CalibCosMetricHead-Tail,CE-Proto,30,0.056399999999999985,0.9,0.05990861669052475,0.8333333333333334,0.070815,0.9,0.035333333333333335,0.7666666666666667,0.009133333333333334,0.6,,,,,,
open+uuv->speedboat,20,CalibCosMetricHead-Tail,CE-Proto,30,0.07313333333333334,1.0,0.053066395362323146,0.8333333333333334,0.08763653333333332,0.9333333333333333,0.03286666666666666,0.7,0.008533333333333332,0.6333333333333333,,,,,,
open+uuv->speedboat,50,CalibCosMetricHead-Tail,CE-Proto,30,0.09969999999999997,1.0,0.062340709113181035,0.8,0.12210513333333335,0.9666666666666667,0.059266666666666676,0.8666666666666667,0.02006666666666667,0.8333333333333334,,,,,,
open+speedboat->uuv,5,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.036233333333333353,0.7,0.09090187193190993,0.8,0.06520513333333336,0.7333333333333333,-0.03226666666666667,0.4,-0.029733333333333334,0.3333333333333333,,,,,,
open+speedboat->uuv,10,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.08056666666666668,0.7666666666666667,0.06871500204428459,0.7333333333333333,0.10728526666666661,0.8,0.07940000000000001,0.7666666666666667,0.015466666666666672,0.5666666666666667,,,,,,
open+speedboat->uuv,20,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.11526666666666666,0.9666666666666667,0.08197884314671017,0.8666666666666667,0.1260397333333333,1.0,0.12646666666666664,0.8,0.038266666666666664,0.7333333333333333,,,,,,
open+speedboat->uuv,50,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.12440000000000001,1.0,0.08285367844573634,0.9,0.15748719999999997,1.0,0.21919999999999995,0.9666666666666667,0.1234,0.7666666666666667,,,,,,
open+uuv->speedboat,5,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.03653333333333333,0.8,0.10150152906478976,0.8666666666666667,0.03886133333333334,0.7666666666666667,0.0246,0.7,0.004933333333333334,0.4666666666666667,,,,,,
open+uuv->speedboat,10,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.048999999999999995,0.9,0.06067439974876617,0.8333333333333334,0.070815,0.9,0.035333333333333335,0.7666666666666667,0.009133333333333334,0.6,,,,,,
open+uuv->speedboat,20,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.07696666666666664,1.0,0.010704575376611403,0.6666666666666666,0.08763653333333332,0.9333333333333333,0.03286666666666666,0.7,0.008533333333333332,0.6333333333333333,,,,,,
open+uuv->speedboat,50,CalibCosMetricHead-Tail-TC,CE-Proto,30,0.08933333333333332,1.0,-0.0254154910795002,0.3333333333333333,0.12210513333333335,0.9666666666666667,0.059266666666666676,0.8666666666666667,0.02006666666666667,0.8333333333333334,,,,,,
open+speedboat->uuv,5,CosMetricHead,CE-Proto,30,0.042900000000000015,0.7666666666666667,0.026763182304132518,0.6333333333333333,0.06399566666666665,0.8,0.03273333333333333,0.5666666666666667,0.00846666666666667,0.5,,,,,,
open+speedboat->uuv,10,CosMetricHead,CE-Proto,30,0.08683333333333333,0.9666666666666667,0.0629036822688386,0.8666666666666667,0.10456793333333333,0.9,0.10413333333333333,0.8,0.027333333333333338,0.5,,,,,,
open+speedboat->uuv,20,CosMetricHead,CE-Proto,30,0.10883333333333332,0.9666666666666667,0.08039576232788866,0.9,0.11303253333333331,1.0,0.11013333333333332,0.8333333333333334,0.04446666666666667,0.7666666666666667,,,,,,
open+speedboat->uuv,50,CosMetricHead,CE-Proto,30,0.12743333333333334,1.0,0.09973170912425174,1.0,0.15475586666666666,1.0,0.2034666666666666,0.9333333333333333,0.1312,0.8,,,,,,
open+uuv->speedboat,5,CosMetricHead,CE-Proto,30,0.0329,0.7666666666666667,0.04332708678931059,0.7333333333333333,0.03613873333333333,0.7333333333333333,0.023266666666666665,0.7,0.004266666666666667,0.5666666666666667,,,,,,
open+uuv->speedboat,10,CosMetricHead,CE-Proto,30,0.049300000000000004,0.9,0.05279341004879563,0.8333333333333334,0.07184326666666666,0.9,0.04486666666666667,0.8333333333333334,0.008933333333333333,0.6,,,,,,
open+uuv->speedboat,20,CosMetricHead,CE-Proto,30,0.07173333333333333,1.0,0.06971879285575976,0.9,0.08667746666666666,1.0,0.04053333333333333,0.7666666666666667,0.005866666666666667,0.6,,,,,,
open+uuv->speedboat,50,CosMetricHead,CE-Proto,30,0.09759999999999999,0.9666666666666667,0.09010136557821956,0.9333333333333333,0.12304599999999997,0.9666666666666667,0.06413333333333333,0.9333333333333333,0.018333333333333333,0.8666666666666667,,,,,,
open+speedboat->uuv,5,CosMetricHead-TC,CE-Proto,30,0.04596666666666665,0.7,0.07702518352728908,0.7666666666666667,0.06399566666666665,0.8,0.03273333333333333,0.5666666666666667,0.00846666666666667,0.5,,,,,,
open+speedboat->uuv,10,CosMetricHead-TC,CE-Proto,30,0.08249999999999999,0.9333333333333333,0.05841416200410794,0.7666666666666667,0.10456793333333333,0.9,0.10413333333333333,0.8,0.027333333333333338,0.5,,,,,,
open+speedboat->uuv,20,CosMetricHead-TC,CE-Proto,30,0.10456666666666667,0.9333333333333333,0.057951535783465985,0.7666666666666667,0.11303253333333331,1.0,0.11013333333333332,0.8333333333333334,0.04446666666666667,0.7666666666666667,,,,,,
open+speedboat->uuv,50,CosMetricHead-TC,CE-Proto,30,0.10136666666666665,0.9333333333333333,0.038898022736865955,0.6666666666666666,0.15475586666666666,1.0,0.2034666666666666,0.9333333333333333,0.1312,0.8,,,,,,
open+uuv->speedboat,5,CosMetricHead-TC,CE-Proto,30,0.03583333333333334,0.8,0.06722994368350067,0.7666666666666667,0.03613873333333333,0.7333333333333333,0.023266666666666665,0.7,0.004266666666666667,0.5666666666666667,,,,,,
open+uuv->speedboat,10,CosMetricHead-TC,CE-Proto,30,0.05679999999999998,0.9333333333333333,0.04425743361638128,0.7,0.07184326666666666,0.9,0.04486666666666667,0.8333333333333334,0.008933333333333333,0.6,,,,,,
open+uuv->speedboat,20,CosMetricHead-TC,CE-Proto,30,0.06393333333333333,0.9333333333333333,-0.0502272835893706,0.3333333333333333,0.08667746666666666,1.0,0.04053333333333333,0.7666666666666667,0.005866666666666667,0.6,,,,,,
open+uuv->speedboat,50,CosMetricHead-TC,CE-Proto,30,0.08056666666666666,0.9333333333333333,-0.07940544848806783,0.26666666666666666,0.12304599999999997,0.9666666666666667,0.06413333333333333,0.9333333333333333,0.018333333333333333,0.8666666666666667,,,,,,
open+speedboat->uuv,5,CosMetricHead-Tail,CE-Proto,30,0.0426,0.8,0.023185681097163836,0.6333333333333333,0.06385966666666668,0.8333333333333334,0.036533333333333334,0.6,0.013066666666666666,0.5,,,,,,
open+speedboat->uuv,10,CosMetricHead-Tail,CE-Proto,30,0.08346666666666666,0.9666666666666667,0.0565832379944278,0.8,0.10214299999999994,0.9,0.10406666666666667,0.8666666666666667,0.033199999999999986,0.5,,,,,,
open+speedboat->uuv,20,CosMetricHead-Tail,CE-Proto,30,0.10219999999999997,0.9666666666666667,0.06698177141444765,0.8666666666666667,0.11062933333333332,1.0,0.10913333333333333,0.8,0.044133333333333344,0.7666666666666667,,,,,,
open+speedboat->uuv,50,CosMetricHead-Tail,CE-Proto,30,0.1208333333333333,1.0,0.08627126304982419,0.9666666666666667,0.15058759999999996,1.0,0.21066666666666664,0.9,0.14266666666666666,0.8,,,,,,
open+uuv->speedboat,5,CosMetricHead-Tail,CE-Proto,30,0.031599999999999996,0.7333333333333333,0.0410422749502407,0.6666666666666666,0.034235733333333344,0.7666666666666667,0.022,0.7333333333333333,0.004600000000000001,0.5333333333333333,,,,,,
open+uuv->speedboat,10,CosMetricHead-Tail,CE-Proto,30,0.04926666666666666,0.8666666666666667,0.05185097838375266,0.8666666666666667,0.06762059999999999,0.9,0.0422,0.8,0.009466666666666668,0.6,,,,,,
open+uuv->speedboat,20,CosMetricHead-Tail,CE-Proto,30,0.05936666666666666,0.9666666666666667,0.06472921657227618,0.8333333333333334,0.08242839999999997,0.9333333333333333,0.04346666666666666,0.7333333333333333,0.007666666666666667,0.6,,,,,,
open+uuv->speedboat,50,CosMetricHead-Tail,CE-Proto,30,0.08016666666666665,0.9333333333333333,0.09583198497409122,0.9333333333333333,0.12120233333333334,0.9333333333333333,0.06546666666666667,0.9333333333333333,0.020733333333333336,0.9,,,,,,
open+speedboat->uuv,5,CosMetricHead-Tail-TC,CE-Proto,30,0.04569999999999999,0.7,0.07443170060732562,0.7,0.06385966666666668,0.8333333333333334,0.036533333333333334,0.6,0.013066666666666666,0.5,,,,,,
open+speedboat->uuv,10,CosMetricHead-Tail-TC,CE-Proto,30,0.08116666666666666,0.9,0.05721498743050078,0.7333333333333333,0.10214299999999994,0.9,0.10406666666666667,0.8666666666666667,0.033199999999999986,0.5,,,,,,
open+speedboat->uuv,20,CosMetricHead-Tail-TC,CE-Proto,30,0.1024,0.9333333333333333,0.05825976755043892,0.8333333333333334,0.11062933333333332,1.0,0.10913333333333333,0.8,0.044133333333333344,0.7666666666666667,,,,,,
open+speedboat->uuv,50,CosMetricHead-Tail-TC,CE-Proto,30,0.1100333333333333,0.9333333333333333,0.06068150311603841,0.8,0.15058759999999996,1.0,0.21066666666666664,0.9,0.14266666666666666,0.8,,,,,,
open+uuv->speedboat,5,CosMetricHead-Tail-TC,CE-Proto,30,0.035833333333333335,0.8,0.06543402101433131,0.7666666666666667,0.034235733333333344,0.7666666666666667,0.022,0.7333333333333333,0.004600000000000001,0.5333333333333333,,,,,,
open+uuv->speedboat,10,CosMetricHead-Tail-TC,CE-Proto,30,0.052966666666666655,0.9,0.038660472060811135,0.7,0.06762059999999999,0.9,0.0422,0.8,0.009466666666666668,0.6,,,,,,
open+uuv->speedboat,20,CosMetricHead-Tail-TC,CE-Proto,30,0.06556666666666665,0.9333333333333333,-0.03517270959072868,0.3333333333333333,0.08242839999999997,0.9333333333333333,0.04346666666666666,0.7333333333333333,0.007666666666666667,0.6,,,,,,
open+uuv->speedboat,50,CosMetricHead-Tail-TC,CE-Proto,30,0.09383333333333331,0.9,-0.017560767554910785,0.5,0.12120233333333334,0.9333333333333333,0.06546666666666667,0.9333333333333333,0.020733333333333336,0.9,,,,,,
open+speedboat->uuv,5,LinEqProxy,CE-Proto,30,0.0583,0.8,0.03054734709577138,0.5666666666666667,0.0380358,0.5666666666666667,0.08033333333333334,0.6666666666666666,0.03913333333333333,0.6333333333333333,,,,,,
open+speedboat->uuv,10,LinEqProxy,CE-Proto,30,0.09473333333333332,0.9,0.06246853388301342,0.8,0.07744006666666667,0.8,0.15633333333333338,0.8333333333333334,0.09080000000000003,0.7,,,,,,
open+speedboat->uuv,20,LinEqProxy,CE-Proto,30,0.1126,0.9333333333333333,0.07930435602733356,0.9,0.09626513333333334,0.9666666666666667,0.13660000000000003,0.9,0.04973333333333333,0.7,,,,,,
open+speedboat->uuv,50,LinEqProxy,CE-Proto,30,0.12663333333333335,1.0,0.09998295247662344,1.0,0.13899366666666665,1.0,0.21326666666666672,0.9666666666666667,0.10066666666666667,0.7333333333333333,,,,,,
open+uuv->speedboat,5,LinEqProxy,CE-Proto,30,0.051199999999999996,0.8333333333333334,0.06475503031385572,0.8,0.050849999999999985,0.7666666666666667,0.0031333333333333335,0.5,0.003533333333333333,0.36666666666666664,,,,,,
open+uuv->speedboat,10,LinEqProxy,CE-Proto,30,0.07066666666666667,0.9333333333333333,0.07020728039755693,0.8666666666666667,0.08346953333333332,0.9666666666666667,0.0346,0.8,0.008,0.6333333333333333,,,,,,
open+uuv->speedboat,20,LinEqProxy,CE-Proto,30,0.09066666666666666,1.0,0.08526021644242444,0.9666666666666667,0.11037486666666664,1.0,0.046933333333333334,0.7666666666666667,0.014666666666666668,0.7,,,,,,
open+uuv->speedboat,50,LinEqProxy,CE-Proto,30,0.12329999999999999,0.9666666666666667,0.11352910010592075,0.9666666666666667,0.1531481333333333,0.9666666666666667,0.07386666666666666,0.9333333333333333,0.03200000000000001,0.9333333333333333,,,,,,
open+speedboat->uuv,5,LinEqProxy-TC,CE-Proto,30,0.011266666666666664,0.43333333333333335,0.05201943756889606,0.5666666666666667,0.0380358,0.5666666666666667,0.08033333333333334,0.6666666666666666,0.03913333333333333,0.6333333333333333,,,,,,
open+speedboat->uuv,10,LinEqProxy-TC,CE-Proto,30,0.07806666666666666,0.8333333333333334,0.058464219294126214,0.7666666666666667,0.07744006666666667,0.8,0.15633333333333338,0.8333333333333334,0.09080000000000003,0.7,,,,,,
open+speedboat->uuv,20,LinEqProxy-TC,CE-Proto,30,0.10876666666666666,0.9666666666666667,0.06800832030327128,0.9,0.09626513333333334,0.9666666666666667,0.13660000000000003,0.9,0.04973333333333333,0.7,,,,,,
open+speedboat->uuv,50,LinEqProxy-TC,CE-Proto,30,0.10693333333333334,0.9,0.05223418363539383,0.7333333333333333,0.13899366666666665,1.0,0.21326666666666672,0.9666666666666667,0.10066666666666667,0.7333333333333333,,,,,,
