task,k_shot,method,baseline,n,acc_delta_mean,acc_delta_positive_ratio,f1_delta_mean,f1_delta_positive_ratio,auc_delta_mean,auc_delta_positive_ratio,pd_at_pfa_0.05_delta_mean,pd_at_pfa_0.05_delta_positive_ratio,pd_at_pfa_0.01_delta_mean,pd_at_pfa_0.01_delta_positive_ratio,pd_tc_delta_mean,pd_tc_delta_positive_ratio,pfa_tc_delta_mean,pfa_tc_delta_positive_ratio,threshold_tc_delta_mean,threshold_tc_delta_positive_ratio
open+uuv->speedboat,5,LinEqProxy-TC,CE-Proto,30,0.05306666666666666,0.9333333333333333,0.09229469566302324,0.8333333333333334,0.050849999999999985,0.7666666666666667,0.0031333333333333335,0.5,0.003533333333333333,0.36666666666666664,,,,,,
open+uuv->speedboat,10,LinEqProxy-TC,CE-Proto,30,0.06263333333333333,0.8666666666666667,0.035244576029398095,0.7,0.08346953333333332,0.9666666666666667,0.0346,0.8,0.008,0.6333333333333333,,,,,,
open+uuv->speedboat,20,LinEqProxy-TC,CE-Proto,30,0.06786666666666664,1.0,-0.054580028944875195,0.3333333333333333,0.11037486666666664,1.0,0.046933333333333334,0.7666666666666667,0.014666666666666668,0.7,,,,,,
open+uuv->speedboat,50,LinEqProxy-TC,CE-Proto,30,0.07126666666666662,0.9333333333333333,-0.10776498995814389,0.13333333333333333,0.1531481333333333,0.9666666666666667,0.07386666666666666,0.9333333333333333,0.03200000000000001,0.9333333333333333,,,,,,
open+speedboat->uuv,5,LinEqProxy-Tail,CE-Proto,30,0.05559999999999999,0.7,0.027030671160152175,0.5666666666666667,0.0337334,0.5666666666666667,0.07506666666666668,0.6666666666666666,0.03273333333333332,0.6333333333333333,,,,,,
open+speedboat->uuv,10,LinEqProxy-Tail,CE-Proto,30,0.10276666666666666,0.9333333333333333,0.07174082810615638,0.8,0.08765053333333332,0.8,0.1686,0.8666666666666667,0.08966666666666666,0.6666666666666666,,,,,,
open+speedboat->uuv,20,LinEqProxy-Tail,CE-Proto,30,0.1266,0.9333333333333333,0.0989401005526695,0.9333333333333333,0.11240833333333332,0.9333333333333333,0.16740000000000002,0.9666666666666667,0.06193333333333333,0.7333333333333333,,,,,,
open+speedboat->uuv,50,LinEqProxy-Tail,CE-Proto,30,0.14313333333333336,1.0,0.12025913828137776,1.0,0.15562046666666668,1.0,0.2501333333333334,1.0,0.11953333333333332,0.7666666666666667,,,,,,
open+uuv->speedboat,5,LinEqProxy-Tail,CE-Proto,30,0.05996666666666665,0.8666666666666667,0.07772050628588553,0.8666666666666667,0.06062093333333334,0.7666666666666667,0.015933333333333334,0.6,0.005333333333333333,0.5,,,,,,
open+uuv->speedboat,10,LinEqProxy-Tail,CE-Proto,30,0.07413333333333334,0.9,0.07774782019241457,0.8666666666666667,0.0881578666666667,0.9,0.03780000000000001,0.7333333333333333,0.01326666666666667,0.8,,,,,,
open+uuv->speedboat,20,LinEqProxy-Tail,CE-Proto,30,0.09559999999999998,1.0,0.08795866462114703,0.9333333333333333,0.11632846666666662,1.0,0.05346666666666667,0.7666666666666667,0.019533333333333337,0.7333333333333333,,,,,,
open+uuv->speedboat,50,LinEqProxy-Tail,CE-Proto,30,0.10499999999999998,0.9666666666666667,0.06949202971901401,0.9,0.14443373333333334,0.9666666666666667,0.07693333333333334,0.8666666666666667,0.03873333333333335,0.8333333333333334,,,,,,
open+speedboat->uuv,5,LinEqProxy-Tail-TC,CE-Proto,30,-0.0003333333333333392,0.4,0.050468534142016706,0.6333333333333333,0.0337334,0.5666666666666667,0.07506666666666668,0.6666666666666666,0.03273333333333332,0.6333333333333333,,,,,,
open+speedboat->uuv,10,LinEqProxy-Tail-TC,CE-Proto,30,0.07893333333333333,0.8,0.07814398313794782,0.8666666666666667,0.08765053333333332,0.8,0.1686,0.8666666666666667,0.08966666666666666,0.6666666666666666,,,,,,
open+speedboat->uuv,20,LinEqProxy-Tail-TC,CE-Proto,30,0.12713333333333335,0.9666666666666667,0.10500960426687299,0.9666666666666667,0.11240833333333332,0.9333333333333333,0.16740000000000002,0.9666666666666667,0.06193333333333333,0.7333333333333333,,,,,,
open+speedboat->uuv,50,LinEqProxy-Tail-TC,CE-Proto,30,0.13206666666666667,0.9333333333333333,0.09347910053923433,0.8666666666666667,0.15562046666666668,1.0,0.2501333333333334,1.0,0.11953333333333332,0.7666666666666667,,,,,,
open+uuv->speedboat,5,LinEqProxy-Tail-TC,CE-Proto,30,0.059533333333333334,0.9333333333333333,0.1334292303778692,1.0,0.06062093333333334,0.7666666666666667,0.015933333333333334,0.6,0.005333333333333333,0.5,,,,,,
open+uuv->speedboat,10,LinEqProxy-Tail-TC,CE-Proto,30,0.06966666666666667,0.8666666666666667,0.07498971015571151,0.9,0.0881578666666667,0.9,0.03780000000000001,0.7333333333333333,0.01326666666666667,0.8,,,,,,
open+uuv->speedboat,20,LinEqProxy-Tail-TC,CE-Proto,30,0.09016666666666664,1.0,0.026865005289374622,0.6666666666666666,0.11632846666666662,1.0,0.05346666666666667,0.7666666666666667,0.019533333333333337,0.7333333333333333,,,,,,
open+uuv->speedboat,50,LinEqProxy-Tail-TC,CE-Proto,30,0.09976666666666664,0.9666666666666667,0.0047213495448387805,0.6,0.14443373333333334,0.9666666666666667,0.07693333333333334,0.8666666666666667,0.03873333333333335,0.8333333333333334,,,,,,
open+speedboat->uuv,5,NormAwareCalibCosMetricHead,CE-Proto,30,0.06549999999999999,0.8333333333333334,0.07357273939601292,0.8333333333333334,0.06104800000000002,0.7333333333333333,-0.048,0.4,-0.05,0.26666666666666666,,,,,,
open+speedboat->uuv,10,NormAwareCalibCosMetricHead,CE-Proto,30,0.11036666666666667,0.9,0.09937034764067051,0.9333333333333333,0.10717366666666664,0.8,0.06966666666666664,0.6666666666666666,0.0004000000000000022,0.5,,,,,,
open+speedboat->uuv,20,NormAwareCalibCosMetricHead,CE-Proto,30,0.14156666666666665,1.0,0.13277224591501524,1.0,0.12672093333333337,0.9666666666666667,0.09480000000000001,0.7666666666666667,0.005466666666666659,0.5666666666666667,,,,,,
open+speedboat->uuv,50,NormAwareCalibCosMetricHead,CE-Proto,30,0.14873333333333333,1.0,0.14602986670566803,1.0,0.16107653333333335,1.0,0.21259999999999998,1.0,0.08886666666666666,0.7666666666666667,,,,,,
open+uuv->speedboat,5,NormAwareCalibCosMetricHead,CE-Proto,30,0.048899999999999985,0.8333333333333334,0.05503153117043792,0.7,0.04966993333333335,0.7666666666666667,0.0296,0.7333333333333333,0.005266666666666669,0.6333333333333333,,,,,,
open+uuv->speedboat,10,NormAwareCalibCosMetricHead,CE-Proto,30,0.06816666666666667,0.9,0.0647239285194939,0.9,0.08165166666666668,0.9666666666666667,0.03833333333333334,0.7666666666666667,0.0094,0.5666666666666667,,,,,,
open+uuv->speedboat,20,NormAwareCalibCosMetricHead,CE-Proto,30,0.08843333333333332,0.9666666666666667,0.07246044054471693,0.8666666666666667,0.09795613333333332,1.0,0.038,0.7,0.010466666666666664,0.6,,,,,,
open+uuv->speedboat,50,NormAwareCalibCosMetricHead,CE-Proto,30,0.11183333333333331,0.9666666666666667,0.08096286853974571,0.9333333333333333,0.13259686666666667,0.9666666666666667,0.06793333333333335,0.9,0.028800000000000003,0.8333333333333334,,,,,,
open+speedboat->uuv,5,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.029366666666666673,0.6333333333333333,0.09167171144408419,0.8666666666666667,0.06104800000000002,0.7333333333333333,-0.048,0.4,-0.05,0.26666666666666666,,,,,,
open+speedboat->uuv,10,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.08636666666666666,0.7666666666666667,0.0916806317145113,0.8666666666666667,0.10717366666666664,0.8,0.06966666666666664,0.6666666666666666,0.0004000000000000022,0.5,,,,,,
open+speedboat->uuv,20,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.11410000000000002,0.9666666666666667,0.07861790442259824,0.8333333333333334,0.12672093333333337,0.9666666666666667,0.09480000000000001,0.7666666666666667,0.005466666666666659,0.5666666666666667,,,,,,
open+speedboat->uuv,50,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.10866666666666666,1.0,0.04823644956296751,0.7,0.16107653333333335,1.0,0.21259999999999998,1.0,0.08886666666666666,0.7666666666666667,,,,,,
open+uuv->speedboat,5,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.04086666666666665,0.8333333333333334,0.1193929728274485,0.9333333333333333,0.04966993333333335,0.7666666666666667,0.0296,0.7333333333333333,0.005266666666666669,0.6333333333333333,,,,,,
open+uuv->speedboat,10,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.05266666666666666,0.8333333333333334,0.08537696090818453,0.9,0.08165166666666668,0.9666666666666667,0.03833333333333334,0.7666666666666667,0.0094,0.5666666666666667,,,,,,
open+uuv->speedboat,20,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.08296666666666663,0.9333333333333333,0.03523369562396104,0.8,0.09795613333333332,1.0,0.038,0.7,0.010466666666666664,0.6,,,,,,
open+uuv->speedboat,50,NormAwareCalibCosMetricHead-TC,CE-Proto,30,0.0982333333333333,0.9333333333333333,-0.012900495499275058,0.4666666666666667,0.13259686666666667,0.9666666666666667,0.06793333333333335,0.9,0.028800000000000003,0.8333333333333334,,,,,,
open+speedboat->uuv,5,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.0699,0.8333333333333334,0.07630333836208109,0.8333333333333334,0.06636259999999998,0.7333333333333333,-0.034066666666666676,0.4,-0.030733333333333335,0.3,,,,,,
open+speedboat->uuv,10,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.10706666666666666,0.9,0.09975845924688234,0.9666666666666667,0.10559953333333329,0.8,0.07066666666666667,0.7,0.009399999999999995,0.5666666666666667,,,,,,
open+speedboat->uuv,20,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.13376666666666667,1.0,0.1272452739539741,1.0,0.1250174,1.0,0.1172,0.7666666666666667,0.03406666666666667,0.7333333333333333,,,,,,
open+speedboat->uuv,50,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.1371666666666667,0.9666666666666667,0.13790891991690002,0.9666666666666667,0.15549586666666662,1.0,0.20580000000000004,0.9333333333333333,0.1056,0.7666666666666667,,,,,,
open+uuv->speedboat,5,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.04169999999999998,0.8333333333333334,0.054483081902110896,0.7333333333333333,0.04212220000000001,0.7333333333333333,0.025000000000000005,0.7333333333333333,0.004600000000000002,0.5,,,,,,
open+uuv->speedboat,10,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.06226666666666665,0.9333333333333333,0.06614672190614435,0.8333333333333334,0.07244760000000001,0.9333333333333333,0.03573333333333333,0.7666666666666667,0.008333333333333333,0.6,,,,,,
open+uuv->speedboat,20,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.07673333333333332,1.0,0.05622767672697984,0.8666666666666667,0.09174179999999996,0.9333333333333333,0.038799999999999994,0.7333333333333333,0.009533333333333333,0.6666666666666666,,,,,,
open+uuv->speedboat,50,NormAwareCalibCosMetricHead-Tail,CE-Proto,30,0.10246666666666664,1.0,0.06020571135422599,0.8333333333333334,0.12426286666666668,0.9666666666666667,0.05953333333333334,0.8333333333333334,0.019600000000000003,0.8333333333333334,,,,,,
open+speedboat->uuv,5,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.03803333333333333,0.7,0.09162776709294317,0.8,0.06636259999999998,0.7333333333333333,-0.034066666666666676,0.4,-0.030733333333333335,0.3,,,,,,
open+speedboat->uuv,10,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.0799,0.7666666666666667,0.06717726102696174,0.7,0.10559953333333329,0.8,0.07066666666666667,0.7,0.009399999999999995,0.5666666666666667,,,,,,
open+speedboat->uuv,20,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.11323333333333334,0.9333333333333333,0.07724838067225154,0.8,0.1250174,1.0,0.1172,0.7666666666666667,0.03406666666666667,0.7333333333333333,,,,,,
open+speedboat->uuv,50,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.12063333333333333,1.0,0.0789075048056925,0.8666666666666667,0.15549586666666662,1.0,0.20580000000000004,0.9333333333333333,0.1056,0.7666666666666667,,,,,,
open+uuv->speedboat,5,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.03779999999999999,0.7666666666666667,0.1056078917924915,0.9,0.04212220000000001,0.7333333333333333,0.025000000000000005,0.7333333333333333,0.004600000000000002,0.5,,,,,,
open+uuv->speedboat,10,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.05316666666666665,0.9333333333333333,0.06315778570651467,0.8333333333333334,0.07244760000000001,0.9333333333333333,0.03573333333333333,0.7666666666666667,0.008333333333333333,0.6,,,,,,
open+uuv->speedboat,20,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.07899999999999997,1.0,0.010438373741088627,0.6666666666666666,0.09174179999999996,0.9333333333333333,0.038799999999999994,0.7333333333333333,0.009533333333333333,0.6666666666666666,,,,,,
open+uuv->speedboat,50,NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,30,0.08916666666666663,0.9666666666666667,-0.0244827679823347,0.4,0.12426286666666668,0.9666666666666667,0.05953333333333334,0.8333333333333334,0.019600000000000003,0.8333333333333334,,,,,,
open+speedboat->uuv,5,RegMahaProxy,CE-Proto,30,0.05383333333333332,0.7666666666666667,0.03345179617037803,0.6666666666666666,0.04131153333333336,0.5666666666666667,0.08553333333333336,0.7333333333333333,0.02353333333333333,0.5666666666666667,,,,,,
open+speedboat->uuv,10,RegMahaProxy,CE-Proto,30,0.10589999999999998,0.8666666666666667,0.07769361472856019,0.7,0.10165573333333329,0.7666666666666667,0.18506666666666668,0.8666666666666667,0.09233333333333334,0.7,,,,,,
open+speedboat->uuv,20,RegMahaProxy,CE-Proto,30,0.12129999999999998,0.9666666666666667,0.10694008431598875,0.9666666666666667,0.12114186666666667,0.9666666666666667,0.1758666666666667,0.9,0.06533333333333333,0.7666666666666667,,,,,,
open+speedboat->uuv,50,RegMahaProxy,CE-Proto,30,0.14319999999999997,1.0,0.12662462656442436,0.9666666666666667,0.18086833333333335,1.0,0.3047333333333334,1.0,0.17386666666666664,0.9333333333333333,,,,,,
open+uuv->speedboat,5,RegMahaProxy,CE-Proto,30,0.056066666666666674,0.9,0.07242514408119563,0.8666666666666667,0.05587180000000001,0.7666666666666667,0.01506666666666667,0.5666666666666667,0.004333333333333333,0.43333333333333335,,,,,,
open+uuv->speedboat,10,RegMahaProxy,CE-Proto,30,0.059699999999999975,0.8666666666666667,0.05968424987084974,0.8,0.07365393333333334,0.8333333333333334,0.028866666666666665,0.6666666666666666,0.0114,0.7333333333333333,,,,,,
open+uuv->speedboat,20,RegMahaProxy,CE-Proto,30,0.08546666666666665,1.0,0.06445047025490398,0.7,0.11280386666666663,1.0,0.05333333333333334,0.8666666666666667,0.019799999999999998,0.7666666666666667,,,,,,
open+uuv->speedboat,50,RegMahaProxy,CE-Proto,30,0.12833333333333333,1.0,0.10482863636865097,0.9,0.16529133333333332,0.9666666666666667,0.11013333333333333,0.9,0.04200000000000001,0.8666666666666667,,,,,,
open+speedboat->uuv,5,RegMahaProxy-TC,CE-Proto,30,-0.028900000000000012,0.3,0.04878252838819126,0.6333333333333333,0.04131153333333336,0.5666666666666667,0.08553333333333336,0.7333333333333333,0.02353333333333333,0.5666666666666667,,,,,,
open+speedboat->uuv,10,RegMahaProxy-TC,CE-Proto,30,0.05466666666666667,0.7333333333333333,0.08967615205370247,0.8,0.10165573333333329,0.7666666666666667,0.18506666666666668,0.8666666666666667,0.09233333333333334,0.7,,,,,,
open+speedboat->uuv,20,RegMahaProxy-TC,CE-Proto,30,0.11743333333333333,1.0,0.12214866003411086,1.0,0.12114186666666667,0.9666666666666667,0.1758666666666667,0.9,0.06533333333333333,0.7666666666666667,,,,,,
open+speedboat->uuv,50,RegMahaProxy-TC,CE-Proto,30,0.1659666666666667,1.0,0.14989919370217658,1.0,0.18086833333333335,1.0,0.3047333333333334,1.0,0.17386666666666664,0.9333333333333333,,,,,,
open+uuv->speedboat,5,RegMahaProxy-TC,CE-Proto,30,0.05433333333333333,0.9333333333333333,0.14622993025604847,1.0,0.05587180000000001,0.7666666666666667,0.01506666666666667,0.5666666666666667,0.004333333333333333,0.43333333333333335,,,,,,
open+uuv->speedboat,10,RegMahaProxy-TC,CE-Proto,30,0.05553333333333333,0.8333333333333334,0.10404581198664728,0.9,0.07365393333333334,0.8333333333333334,0.028866666666666665,0.6666666666666666,0.0114,0.7333333333333333,,,,,,
open+uuv->speedboat,20,RegMahaProxy-TC,CE-Proto,30,0.09319999999999998,1.0,0.0826126361872408,0.8333333333333334,0.11280386666666663,1.0,0.05333333333333334,0.8666666666666667,0.019799999999999998,0.7666666666666667,,,,,,
open+uuv->speedboat,50,RegMahaProxy-TC,CE-Proto,30,0.11423333333333333,1.0,0.019773038452592318,0.6333333333333333,0.16529133333333332,0.9666666666666667,0.11013333333333333,0.9,0.04200000000000001,0.8666666666666667,,,,,,
open+speedboat->uuv,5,RegMahaProxy-Tail,CE-Proto,30,0.056566666666666654,0.7333333333333333,0.045035552315060574,0.7,0.048713733333333356,0.6333333333333333,0.0942,0.7666666666666667,0.039799999999999995,0.5666666666666667,,,,,,
open+speedboat->uuv,10,RegMahaProxy-Tail,CE-Proto,30,0.09326666666666665,0.7333333333333333,0.07118319223136808,0.7333333333333333,0.09659966666666664,0.7,0.17713333333333334,0.8666666666666667,0.09379999999999998,0.6666666666666666,,,,,,
open+speedboat->uuv,20,RegMahaProxy-Tail,CE-Proto,30,0.10589999999999998,0.9666666666666667,0.09691047288614159,0.9333333333333333,0.11763006666666667,1.0,0.17453333333333335,0.8666666666666667,0.06973333333333336,0.7333333333333333,,,,,,
open+speedboat->uuv,50,RegMahaProxy-Tail,CE-Proto,30,0.128,1.0,0.10952015268527483,0.9,0.174763,1.0,0.2951333333333333,1.0,0.1662,0.9,,,,,,
open+uuv->speedboat,5,RegMahaProxy-Tail,CE-Proto,30,0.056100000000000004,0.9333333333333333,0.07068383214467935,0.8333333333333334,0.0558718,0.7333333333333333,0.012733333333333336,0.4666666666666667,0.0058666666666666685,0.5333333333333333,,,,,,
open+uuv->speedboat,10,RegMahaProxy-Tail,CE-Proto,30,0.05666666666666666,0.8666666666666667,0.07803397663340039,0.8333333333333334,0.06676066666666668,0.8333333333333334,0.025199999999999997,0.6666666666666666,0.007533333333333333,0.5666666666666667,,,,,,
open+uuv->speedboat,20,RegMahaProxy-Tail,CE-Proto,30,0.08719999999999997,1.0,0.07657124298997213,0.8333333333333334,0.11399066666666664,1.0,0.05946666666666667,0.8666666666666667,0.022866666666666664,0.8,,,,,,
open+uuv->speedboat,50,RegMahaProxy-Tail,CE-Proto,30,0.10356666666666664,0.9666666666666667,0.10058663746578096,0.8333333333333334,0.14943680000000004,0.9666666666666667,0.08299999999999998,0.9,0.030600000000000006,0.8666666666666667,,,,,,
open+speedboat->uuv,5,RegMahaProxy-Tail-TC,CE-Proto,30,-0.024033333333333344,0.3333333333333333,0.053645090044464654,0.6666666666666666,0.048713733333333356,0.6333333333333333,0.0942,0.7666666666666667,0.039799999999999995,0.5666666666666667,,,,,,
open+speedboat->uuv,10,RegMahaProxy-Tail-TC,CE-Proto,30,0.05779999999999998,0.7,0.08765946856407372,0.8,0.09659966666666664,0.7,0.17713333333333334,0.8666666666666667,0.09379999999999998,0.6666666666666666,,,,,,
open+speedboat->uuv,20,RegMahaProxy-Tail-TC,CE-Proto,30,0.11863333333333334,1.0,0.11960580602422734,1.0,0.11763006666666667,1.0,0.17453333333333335,0.8666666666666667,0.06973333333333336,0.7333333333333333,,,,,,
open+speedboat->uuv,50,RegMahaProxy-Tail-TC,CE-Proto,30,0.15703333333333333,1.0,0.13764962951057066,1.0,0.174763,1.0,0.2951333333333333,1.0,0.1662,0.9,,,,,,
open+uuv->speedboat,5,RegMahaProxy-Tail-TC,CE-Proto,30,0.05189999999999998,0.9333333333333333,0.14247731837850364,0.9666666666666667,0.0558718,0.7333333333333333,0.012733333333333336,0.4666666666666667,0.0058666666666666685,0.5333333333333333,,,,,,
open+uuv->speedboat,10,RegMahaProxy-Tail-TC,CE-Proto,30,0.05256666666666665,0.8,0.09718799132176735,0.9666666666666667,0.06676066666666668,0.8333333333333334,0.025199999999999997,0.6666666666666666,0.007533333333333333,0.5666666666666667,,,,,,
open+uuv->speedboat,20,RegMahaProxy-Tail-TC,CE-Proto,30,0.09173333333333329,1.0,0.05746311215154671,0.8333333333333334,0.11399066666666664,1.0,0.05946666666666667,0.8666666666666667,0.022866666666666664,0.8,,,,,,
open+uuv->speedboat,50,RegMahaProxy-Tail-TC,CE-Proto,30,0.10729999999999998,0.9666666666666667,0.02486279502686024,0.7333333333333333,0.14943680000000004,0.9666666666666667,0.08299999999999998,0.9,0.030600000000000006,0.8666666666666667,,,,,,
